x,y,z,radius
6.805009455031003629e-01,5.978993151281390972e-01,1.912895700334705129e+00,2.279720083277668452e-01
1.001202573211643410e+00,1.412662776764702866e+00,5.879963511675718735e-01,1.512133372325320524e-01
1.107752423509163808e+00,1.306597503769038049e-01,1.728181045795399440e+00,1.629019937797335504e-01
1.354225656074880657e+00,6.415249403850055154e-01,1.252648183385691727e-01,2.049331353209569995e-01
1.709865782383060973e+00,1.302752767634892672e+00,1.235877666371347106e+00,2.279968725391895989e-01
1.386110060852429937e+00,9.308575419411434515e-01,1.252921279284954004e+00,1.551897302103166787e-01
1.990727472814743493e+00,4.340712065566993960e-01,1.685458206188451102e+00,1.546538114449867163e-01
1.926838057785281499e+00,1.205369726987887802e+00,1.644926851640598153e+00,1.919847931200504287e-01
1.804796764942804721e+00,3.677273273678176024e-01,1.128598390697126419e+00,1.893671853874728528e-01
7.591749835085617182e-01,1.083599743130956305e-01,2.949294256139562975e-01,1.645404987743737113e-01
1.476482997426804555e+00,1.579315814084342184e+00,4.128871473910304957e-01,2.393370066573201338e-01
7.078788343616748691e-03,9.789436232865855736e-02,6.029519011775028581e-01,2.120176102411303054e-01
1.029572485087948408e-02,1.696822092350138478e+00,1.505224340356755564e+00,2.153758949680370793e-01
4.023546592455928828e-01,1.568078835728946796e+00,5.321642886037381004e-01,2.364625358869236471e-01
9.779366358896726119e-01,1.297190845985547458e-01,4.127881260756138815e-03,1.568236046967700081e-01
1.232342284986949199e+00,1.749132800184624248e+00,1.783278085298074522e+00,1.870204696468231731e-01
5.672132656557204999e-01,2.232481705408377870e-01,9.545902902866805206e-01,2.296927574509423364e-01
9.799101260422092563e-02,1.027985256069624542e+00,3.553907479358990318e-01,2.414290358807711645e-01
1.904774805064763044e+00,1.335714039136563169e+00,7.968495256902151658e-01,1.511585133195169905e-01
8.963154825540773363e-01,1.672963007865708451e-01,1.390295033648073941e+00,2.075637785619693088e-01
1.500251258811464039e+00,5.800510014289272064e-03,1.070095049484290906e+00,1.839229844143140391e-01
1.427014504725500288e+00,5.869218987198907556e-01,1.999015345174111724e+00,2.448446001149263418e-01
1.533489765177351138e+00,1.256394847580980523e+00,1.848711287108159018e+00,2.221267538714221113e-01
1.047201052934948695e+00,1.390907552950773063e+00,1.426703177851778248e+00,1.828449067717702603e-01
1.390282878570838765e+00,1.960042047631532114e+00,1.584226112601210268e-01,1.624218807494309524e-01
8.245407077462929557e-02,2.281498563555350856e-01,1.853120371465889704e+00,1.818361738156668017e-01
1.781884094981929900e+00,1.789150235622035012e+00,1.681366068837030436e+00,2.161174845035495617e-01
9.609001967906837249e-01,9.873105438415296087e-01,9.135946976184490254e-01,2.281665228541911172e-01
7.591130950766777907e-02,9.808135480470804302e-01,1.491014194435977602e+00,1.870333225797313759e-01
1.984140204674355479e+00,1.383281398753408054e+00,1.323950464164957812e-02,2.400155778868028333e-01
1.140861881425994984e+00,1.272137312383023966e+00,7.327678610679000393e-02,1.569491806948705159e-01
7.322377034415390451e-01,8.145496163767347308e-01,1.251002924832763874e+00,2.073462657297726885e-01
7.288261061442402600e-02,1.897748594581751380e+00,2.087361022505553887e-01,2.090853683792873730e-01
1.638385902267788463e+00,3.306455098215543842e-02,1.513571679805297165e+00,1.846695774961760461e-01
1.332101321956836060e+00,1.663744950208098927e-01,7.186235602102188924e-01,1.693752533898759960e-01
6.434602132041042921e-01,1.875181889417938841e+00,8.322082412097100423e-01,1.985361703420513435e-01
5.323182817445419879e-01,1.148446540345364308e+00,9.571363360552462840e-01,1.695245048776861940e-01
1.144213290182351628e+00,1.949413763341802719e+00,9.603644708834326860e-01,2.373970855856488427e-01
1.937292057945408930e+00,8.827757201969084200e-01,1.167719866205128465e+00,1.728387418900835804e-01
4.046091514699911573e-01,1.999535123679739845e+00,1.585806706136157151e+00,1.796607902371172294e-01
4.277394387475665916e-01,1.410025419926772550e-01,3.844271967198331641e-01,1.516360422296197108e-01
1.109400797123345939e+00,1.450678290084520761e+00,9.410346051872441331e-01,2.039190265584403250e-01
1.929409622109128086e-01,4.789768511449059019e-01,1.479342657685259077e+00,1.881747843667807840e-01
7.320264934872372509e-01,9.427647965988690260e-01,1.109070722480858251e-01,1.875871196334107371e-01
6.556405070152335757e-01,1.457360817526592189e+00,1.560532027331256399e+00,1.788454001307068497e-01
5.226538800262203049e-02,5.509272724364068230e-01,1.023386931769094538e-01,2.449274704780910750e-01
1.539783450054095448e+00,9.416944877637611899e-01,7.236517739119736614e-01,1.932761858934704813e-01
1.184552639121687845e+00,5.392046695601802053e-01,1.029186807250426217e+00,1.924201946151410936e-01
1.055326468521711192e+00,9.231758631682930316e-01,1.934034955346609186e+00,1.525769775512488269e-01
1.706151185588899652e-02,3.669162234859879024e-01,9.102291025913025191e-01,1.717047105874321966e-01
1.822475371188187587e+00,7.293755068707163947e-01,5.295452100999242795e-01,1.671374481806876533e-01
1.169752163892126218e+00,1.919030100223650726e+00,4.878313535090075259e-01,2.130048104847249435e-01
1.800004642334436245e-01,1.964514033198247578e+00,1.926631413728286057e+00,1.959713414353421168e-01
2.734157326405122213e-01,1.321605751009258256e-02,1.275552500552259216e+00,1.992326630871236459e-01
8.019070106463108694e-01,6.543991190192219864e-01,5.594967114902178462e-01,2.192725378284600957e-01
8.141145383532473190e-01,1.703404303886403737e+00,1.237614891682915053e+00,2.117091339584153686e-01
1.635908256257668336e+00,1.758826312269510028e+00,9.104391399759721448e-01,2.076787139160981566e-01
1.906645468084659623e+00,1.045204195388244273e+00,3.067003272598940455e-01,1.507976135848540511e-01
8.048681052533624980e-01,1.030571243181031882e+00,1.688391841860413800e+00,2.011214739295716647e-01
2.210770288577508236e-01,1.382521086899012541e+00,9.294804440534897017e-02,2.018849324973502890e-01
1.912591053401318852e+00,1.868601024085482898e+00,1.150730683007099797e+00,1.553277665017466502e-01
1.295085248887201335e+00,2.509693173255171939e-01,2.809568291090004943e-01,1.751175318444081475e-01
4.811866227312421862e-01,9.938001603029058550e-01,1.957062770264146989e+00,1.769282189934859306e-01
